BLOCK,LOT,CONDO,LOCATION,res,comm,exempt,ACREAGE,sq_footage,story_design,house_type,garage,SALES DATE,SALE PRICE,PRICE CD,land_price,improv_price,assesed_value,num_structures,year_built,units,roof_type,roof_material,foundation,heat_src,heat_sys,elec,ac_type,ac_area,4_fixbath,3_fixbath,2_fixbath,1_fixbath,HotTub,fireplace,bedrooms,bathrooms,basmt_area,finbasmt_area,firstfloor_area,upper_area,half_area,attic_area,interior_cond,ext_cond,overall_cond,view
73,9,0,223 N 10TH ST,1,0,0,0.11,2180,4,8,0,7/31/1995,10,Z,350000,331800,681800,2,2005,1,2,4,2,2,3,1,2,2180,0,3,0,1,0,1,4,3,0,0,1090,1090,0,0,1,1,1,0
73,10,0,222 N 11TH ST,1,0,0,0.11,1376,3,5,1,11/29/2004,270000,Z,350000,178600,528600,2,1950,1,2,4,2,2,3,1,2,1376,0,1,0,1,0,0,4,1,0,0,992,0,768,0,2,2,2,0
73,11,0,227 N 10TH ST,1,0,0,0.11,1392,4,1,0,12/5/1992,120000,A,350000,127600,477600,1,1960,2,2,4,2,2,4,1,90,1392,0,2,0,1,0,0,6,2,0,0,696,696,0,0,2,2,2,0
73,12,0,228 N 11TH ST,1,0,0,0.11,1850,3,5,0,00/00/0000,0,,350000,220700,570700,2,1950,1,2,4,2,2,3,1,90,1850,0,1,0,1,0,1,4,1,0,0,1330,0,1040,0,2,2,2,0
73,13,0,233 N 10TH ST,1,0,0,0.11,1788,4,7,1,7/30/2002,442000,A,350000,164500,514500,1,1935,1,4,4,2,2,4,1,1,1788,0,2,0,0,0,1,3,2,0,0,1068,720,0,0,2,2,2,0
73,14,0,232 N 11TH ST,1,0,0,0.11,1270,1,3,0,8/25/1992,26666,Z,350000,114200,464200,1,1955,1,2,4,2,2,4,1,90,1270,0,3,0,1,0,0,3,3,0,0,1270,0,0,0,2,2,2,0
73,15,0,239 N 10TH ST,1,0,0,0.11,1020,3,5,1,00/00/0000,0,,350000,103000,453000,1,1940,1,2,4,2,2,4,1,90,1020,0,1,1,1,0,1,4,1.5,0,0,800,0,440,0,2,2,2,0
73,16,0,238 N 11TH ST,1,0,0,0.11,920,1,3,0,2/15/2001,1,Z,350000,90300,440300,1,1950,1,2,4,2,2,4,1,90,920,0,1,0,1,0,0,2,1,0,0,920,0,0,0,2,2,2,0
73,17,0,243 N 10TH ST,1,0,0,0.11,1040,1,3,0,00/00/0000,0,,350000,87200,437200,1,1960,1,2,4,2,90,90,1,90,1040,0,1,0,1,0,0,3,1,0,0,1040,0,0,0,2,2,2,0
73,18,0,242 N 11TH ST,1,0,0,0.11,1152,1,4,0,4/28/2000,325000,Z,350000,261100,611100,1,2000,1,6,4,1,2,3,1,2,1152,0,2,1,1,0,0,3,2.5,288,288,1152,0,0,0,1,1,1,0
73,19,0,247 N 10TH ST,1,0,0,0.22,1328,3,5,1,00/00/0000,0,,437500,128800,566300,1,1953,1,2,4,2,2,3,1,90,1328,0,1,0,1,0,1,4,1,0,0,936,0,784,0,2,2,2,0
73,20,0,246 N 11TH ST,1,0,0,0.11,1802,4,8,0,9/29/2000,495000,Z,350000,308900,658900,1,2000,1,6,4,1,2,3,1,2,1802,0,2,1,1,0,0,4,2.5,768,264,936,866,0,0,1,1,1,0
73,22,0,252 N 11TH ST,1,0,0,0.11,1198,1,4,0,5/2/2005,795000,Z,350000,261500,611500,1,2005,1,2,4,1,2,3,1,2,1198,0,2,1,1,0,0,3,2.5,144,144,1198,0,0,0,1,1,1,0
73,23,0,257 N 10TH ST,1,0,0,0.11,1795,4,7,0,8/17/2000,1,Z,350000,134600,484600,1,1960,1,2,4,2,2,4,1,90,1795,0,2,0,1,0,0,6,2,0,0,955,840,0,0,2,2,2,0
73,24,0,262 N 11TH ST,1,0,0,0.22,1776,3,5,0,1/7/1993,100,Z,542500,171800,714300,1,1962,1,2,4,2,2,3,1,2,1776,0,2,0,1,0,1,5,2,0,0,1220,0,1112,0,2,2,2,0
73,25,0,263 N 10TH ST,1,0,0,0.11,1152,1,4,0,10/29/2001,326000,A,350000,150100,500100,1,1985,1,2,4,1,1,6,1,90,1152,0,2,0,1,0,0,3,2,1152,528,1152,0,0,0,2,2,2,0
73,27,0,269 N 10TH ST,1,0,0,0.11,1152,1,4,0,11/14/2005,785000,A,350000,175100,525100,1,1985,1,2,4,1,2,3,1,2,1152,0,2,0,1,0,0,3,2,144,144,1152,0,0,0,2,2,2,0
73,28,0,266 N 11TH ST,1,0,0,0.11,1560,4,8,1,1/24/2005,0,Z,350000,182000,532000,1,1985,1,2,4,2,2,3,1,2,1560,0,2,0,1,0,0,3,2,852,828,1080,480,0,0,2,2,2,0
73,29,0,273 N 10TH ST,1,0,0,0.11,1122,3,5,1,00/00/0000,0,,350000,110700,460700,1,1960,1,2,4,2,1,6,1,90,1122,0,2,0,1,0,0,3,2,0,0,810,0,624,0,2,2,2,0
73,30,0,272 N 11TH ST,1,0,0,0.11,1288,3,5,1,11/30/1994,167500,A,350000,122200,472200,1,1955,1,2,4,2,1,6,1,90,1288,0,1,1,1,0,1,4,1.5,0,0,880,0,816,0,2,2,2,0
73,31,0,279 N 10TH ST,1,0,0,0.11,960,3,5,0,10/23/1998,1,Z,350000,95400,445400,1,1950,1,2,4,2,2,3,1,90,1440,0,1,0,1,0,0,3,1,0,0,960,0,960,0,2,2,2,0
73,32,0,276 N 11TH ST,1,0,0,0.11,1159,3,5,1,1/3/1995,154000,A,350000,88300,438300,1,1935,1,2,4,2,2,4,1,90,1070,0,1,1,1,0,0,4,1.5,0,0,797,0,725,0,2,2,2,0
73,33,0,283 N 10TH ST,1,0,0,0.11,702,1,3,0,12/13/1993,1,Z,350000,71100,421100,1,1950,1,2,4,2,2,90,1,90,702,0,1,1,1,0,0,2,1.5,0,0,702,0,0,0,2,2,2,0
73,34,0,282 N 11TH ST,1,0,0,0.11,1075,1,3,0,7/15/1993,135000,A,350000,115700,465700,1,1960,1,2,4,2,2,3,1,2,1075,0,2,0,1,0,1,3,2,0,0,1075,0,0,0,2,2,2,0
73,35,0,287 N 10TH ST,1,0,0,0.11,672,2,5,0,8/20/2004,455000,A,350000,85000,435000,1,1960,1,2,4,2,2,90,1,90,672,0,1,0,1,0,0,3,1,0,0,672,0,0,672,2,2,2,0
73,36,0,288 N 11TH ST,1,0,0,0.11,1764,5,5,0,7/24/1998,178000,A,350000,147100,497100,1,1960,2,2,4,2,2,4,1,90,1764,0,2,0,2,0,0,6,2,0,0,1116,180,936,0,2,2,2,0
73,37,0,295 N 10TH ST,1,0,0,0.11,864,1,3,1,7/31/2001,290000,A,350000,101000,451000,1,1960,1,2,4,2,2,4,1,90,864,0,1,0,1,0,0,3,1,0,0,864,0,0,0,2,2,2,0
73,38,0,1006 N BARNEGAT AVE,1,0,0,0.11,1056,3,5,1,00/00/0000,0,,350000,115300,465300,1,1962,1,2,4,2,1,6,1,90,1056,0,1,1,1,0,0,4,1.5,0,0,704,0,704,0,2,2,2,0
73,39,0,1010 N BARNEGAT AVE,1,0,0,0.11,1056,1,4,0,00/00/0000,0,,350000,120300,470300,1,1985,1,2,4,2,1,6,1,1,1056,0,2,0,1,0,0,3,2,144,144,1056,0,0,0,2,2,2,0
73,40,0,294 N 11TH ST,1,0,0,0.11,1152,3,5,1,9/12/1997,154000,A,350000,131300,481300,1,1959,1,2,4,2,1,7,1,90,1152,0,1,1,1,0,0,3,1.5,0,0,768,0,768,0,2,2,2,0
74,1,0,205 N 11TH ST,1,0,0,0.11,1961,4,7,1,10/27/2001,307500,A,350000,165800,515800,1,1930,2,2,4,2,1,6,1,90,1961,0,2,0,2,0,0,5,2,0,0,1043,1043,0,0,2,2,2,0
